prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector,function_vector_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: Pittman suggested that conditions wouldn't improve until sometime next week.
A:", 皮特曼认为天气情况要到下周才能改善。, Pittman suggested that conditions wouldn't improve until sometime next week., 1. Pittman suggested that conditions wouldn't improve until sometime next week.,0.0,0.0,0.0,0.0,eng_Latn,93.51334836242394,98.68120990774284
"Q: Each of these nomadic rampages or marches lasts for approximately 17 days.
A:", 这种游牧性的横冲直撞行为每次都会持续 17 天左右。,, 17 days.,0.0,0.13284616367443902,0.0,6.271548628070679,eng_Latn,0.940356255149521,12.778677893037981
"Q: The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.
A:", 不同的构造有不同的功能，对不同的波长敏感，且敏锐度不同。它们也需要不同的处理方式来理解输入，并需要不同数量的输入才能达到最佳效果。," The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally."," 1. The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",0.9668670750672484,0.9451258377819046,0.0,0.0,eng_Latn,97.75137267097121,99.58897960762116
"Q: The typhoon is estimated to be moving toward China at eleven kph.
A:", 预计台风正以每小时十一公里的速度靠近中国。,, 11 kph is the speed of the typhoon.,0.0,0.0,0.0,0.0,eng_Latn,10.457935853793364,20.515602228523345
"Q: Massa is due to be out for at least the rest of the 2009 season.
A:", 马萨 (Massa) 至少在 2009 赛季的其余比赛中都不会出场。,, 2009 is the last season of the 2008-09 season.,0.0,1.2458232008504773,0.0,7.937813517587526,eng_Latn,7.893880992285575,34.45869836716542
"Q: One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.
A:", 北卡罗来纳州夏洛特市的优势之一在于它为家庭提供了许多高质量的选择。,, 1. Charlotte is a great place to live because it has a lot of high-quality options for families.,0.0,0.0,0.0,0.0,eng_Latn,31.1033032294136,46.22741021447915
"Q: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
A:", 这使得廉价的变焦镜头在没有闪光灯的情况下很难在弱光条件下使用。,, 1. It is not a good choice for low-light conditions.,0.0,0.0,0.0,0.0,eng_Latn,11.56613245714642,27.249050283766397
"Q: Traditionally, the heir to the throne would go straight into the military after finishing school.
A:", 传统上，王位继承人在完成学业后会直接入伍。,, 历史学家认为，皇室继承人应该在大学毕业后进入军政。,0.0,6.108557268562174,0.0,9.33506365300643,zho_Hans,6.108557268562174,9.33506365300643
"Q: A cell is the smallest structural and functional unit of a living (things) organism.
A:", 细胞是各类生物体中最小的结构和功能单位。,, 答案：A cell is the smallest structural and functional unit of a living (things) organism.,0.0,1.4445809981770859,0.0,0.0,eng_Latn,79.5436912190344,97.73914026913275
"Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A:", 主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,, 科学家们认为，这种方法将有助于早期发现癌症、肺癌、艾滋病毒和疟疾的患者。,0.0,8.015397329340177,0.0,11.293286318296545,zho_Hans,8.015397329340177,11.293286318296545
"Q: Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.
A:", 德国将此次袭击的代号定为“海狮行动”。英国军队从敦刻尔克撤退时失去了大部分重型武器和补给，元气大伤。, The British Army was fairly weak., 英国号称“Operation Sealion”的英国军队在德军撤离时，几乎全部损失了。英国军队的重型武器和物资，被英国军队撤离时，几乎全部丢失。,0.0,8.155909118382427,0.0,11.5378218763135,zho_Hans,8.155909118382427,11.5378218763135
"Q: These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.
A:", 车子并不是很灵活，所以必须绕着横贯南极山脉，拐一个长长的的大弯才能来到高原。, These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau., 1000 feet.,0.0,0.0,0.0,0.0,eng_Latn,0.0008951104098702025,1.396564160995026
"Q: There are infinite variations possible, but this remains what most people mean when they talk of ""going to Disney World"".
A:", 迪士尼的玩法有无数种，但对大多数人来说，“去迪士尼乐园”就是这个意思。,," 1. The Disney World theme park is a huge complex of theme parks, hotels, restaurants, and attractions.",0.0,1.4443949859746112,0.0,0.0,eng_Latn,3.4375216566808753,21.514426053658084
"Q: A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.
A:", 世界博览会（俗称万国博览会，简称世博）是一场展示艺术和科学的国际盛会。,," 1939 World's Fair was held in Chicago, Illinois, United States.",0.0,1.1046647154442828,0.0,0.0,eng_Latn,7.653341649912454,16.033177436443122
