prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.0,2.2795967444902874,war_Latn," ""Mayda na kita yana 4-ka-bulan-an edad nga yatot nga diri-diabetic nga han hadto diabetic,"" dugang pa niya.",0.0,2.3281197425430706,23.625
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",Mafini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini h,0.0,3.7647110942955337,war_Latn," Ginpahimatngon ni Dr. Ehud Ur, propesor han medisina ha Dalhousie University ha Halifax, Nova Scotia ngan pangulo han klinikal ngan sayantipiko nga dibisyon han Canadian Diabetes Association nga an pagsaliksik in aada pa ha iya sayo nga mga adlaw.",0.0,4.169600914587835,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",Hafini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini h,0.0,2.1486594787414024,war_Latn," Sugad han pira nga iba nga mga eksperto, diri hiya sigurado kon pwede ba matambal an diabetes, nagsisiring nga ini nga mga pinanhibilngan waray paghidabi ngadto han mga tawo nga mayda na daan Type 1 nga diabetes.",0.0,3.8813729791764886,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Mafini hini, kini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini",0.38902517940945786,3.858053232563716,war_Latn," Dida han Lunes, iginpasabot ha publiko ni Sara Danius, permanente nga sekretarya han Nobel Committee para ha Literatura ha Swedish Academy, dida han usa ka programa ha radyo nga Sveriges Radio ha Sweden nga an komitiba, nga waray pakakakab-ot hin direkta kan Bob Dylan mahitungod han pagdaog han 2016 Nobel Prize ha Literatura, in ginbayaan an ira mga paningkamot para hiya makab-ot.",0.3391319172515915,3.643273602192358,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",Hili hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.0,2.9716983223479145,war_Latn," Nagsiring hi Danius, ""Ha pagkayana waray kami ginhihimo. Nagpinanawag ako ngan nagpadara hin mga email ngadto han iya pinakasuok nga kabulig ngan nakakarawat hin duro ka makisasangkayon nga mga baton. Ha pagkayana, igo na gud iton.""",0.0,4.4352263655502036,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",Kili hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.0,3.8193392965774975,war_Latn," Han naglabay, nagyakan hi Jamie Siminoff, an CEO han Ring, nga nagtikang an kompanya dida han diri nababatian an iya doorbell tikang ha shop ha iya garahe-an.",0.0,3.866293280719292,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",Mili hili hili hili hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.0,2.313390526787642,war_Latn," Naghimo hiya hin usa ka WiFi nga door bell, siring niya.",0.0,4.0884860292794345,16.875
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Simini hili hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.7144315612998046,4.332966275198125,war_Latn, Nagsiring hi Siminoff nga kumusog an halin kahuman han iya 2013 nga pagpakita ha usa ka episode han Shark Tank kon diin an panel han pasalida nagbaribad pagpundo han startup.,0.7144315612998046,4.728948553920823,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",Simini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini,0.7144315612998046,3.9521835650702566,war_Latn," Han urhi nga parte han 2017, nagpakita hi Siminoff ha shopping television channel nga QVC.",0.7144315612998046,5.096771595537735,20.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Hifini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini hini h,0.0,2.6645241455064985,war_Latn," Gin-areglar gihap han Ring an usa nga kiha ha kakompetensya nga kompanya ha seguridad, an ADT Corporation.",0.0,2.799209560509569,25.0
