prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",Kini kuni kuni kuni kini kuni kini kuni kini kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,3.9138746223675622,uzn_Latn," ""Hozir bizda diabetik bo'lishi kerak bo'lgan, diabetik bo'lmagan 4 oylik sichqon mavjud"", deb qo'shib qo'ydi u.",0.0,2.7862334328976504,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,5.335068160732445,uzn_Latn, Yangi Shotlandiyaning Galifaks shahridagi Dalxauzi universiteti tibbiyot professori hamda Kanada diabet birlashmasining klinik va ilmiy bo'limi raisi doktor Ehud Ur tadqiqot hali o'zining boshlang'ich davrida ekani haqida ogohlantirdi.,0.0,4.121761019075093,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,4.061797490946425,uzn_Latn," Ayrim boshqa mutaxassislar kabi, u diabetni davolash mumkinligiga shubha bilan qaraydi hamda mazkur xulosalar allaqachon 1-toifa diabetga chalingan kishilarga aloqador emasligini qayd etadi.",0.0,2.796538237480982,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,4.573341319253502,uzn_Latn, Dushanba kuni Shvetsiya Fanlar akademiyasi adabiyot bo'yicha Nobel mukofoti qo'mitasining doimiy kotibasi Sara Danius Shetsiyaning Sveriges radiosidagi dastur davomida qo'mitaning adabiyot bo'yicha 2016-yili Nobel mukofotini yutganlik to'g'risida to'g'ridan-to'g'ri Bob Dilan bilan bog'lana olmagandan keyin u bilan bog'lanish bo'yicha urinishlarini to'xtatganligini ommaviy tarzda e'lon qildi.,0.20683196805470455,4.495603024842922,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,3.9883060968071864,uzn_Latn," Danius ""Biz hozirda hech nima qilmayapmiz. Men uning yaqin hamkoriga qo'ng'iroq qildim hamda elektron xatlar yubordim va do'stona javoblar oldim. Hozircha, shuning o'zi yetarli"", dedi.",0.0,3.2782758886031305,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",Kini kuni kuni kuni kini kuni kuni kini kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,5.451290665809813,uzn_Latn, Oldin Ring kompaniyasining bosh direktori Jeymi Siminoff kompaniya o'z garajidagi ustaxonadan eshik qo'ng'irog'i eshitilmaganidan keyin boshlanganini qayd etgandi.,0.0,4.630901976736835,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,1.7781452575308172,uzn_Latn," U WiFi eshik qo'ng'irog'ini yasadi, dedi u.",0.0,2.5196420659701824,19.625
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,3.3674526424864815,uzn_Latn," Siminoffning aytishicha, shou komissiyasi startapni moliyalashtirishni rad etganidan keyin 2013-yili ""Shark Tank"" epizodidagi ko'rinishidan so'ng savdo hajmi oshib ketgan.",0.0,3.9283541471481804,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",Kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,3.2881484714805445,uzn_Latn, 2017-yilning oxirida Siminoff QVC xaridlar telekanalida ko'rinish berdi.,0.0,2.7203841305657175,24.75
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Kini kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni kuni,0.0,3.359303492952969,uzn_Latn, Ring xavfsizlik bo'yicha raqobatchi kompaniyasi – ADT korporatsiyasi bilan ham nizoni hal qildi.,0.0,3.2715194802868277,25.0
