prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. ""
A:","""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. ""","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. """,1.7557381354086663,11.776437660704207,wol_Latn," ""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. """,100.00000000000004,100.0,25.0,25.0,0.349609375
"Q: Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.
A:","Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The Canadian government has been working to improve the quality of life for the people of the province. The government has been working to improve the quality of life for the people of the province. The government has been working to improve the quality of life for the people of the province. The government has been working to improve the quality of life for the people of the province. The government has been working to improve the quality of life for the people of the province. The government has been working to improve the quality,1.2434759166931149,15.830606414829152,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",1.2434759166931149,15.830606414829152,25.0,25.0,-0.01226806640625
"Q: Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.
A:","Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The first part of the question is about the origin of the word ""borom"". The word ""borom"" is a word that means ""to be born"". The word ""borom"" is a word that means ""to be born"". The word ""borom"" is a word that means ""to be born"". The word ""borom"" is a word that means ""to be born"". The word ""borom"" is a word that means ""to be born"". The word """,0.5076469172229491,14.1709936363936,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.5076469172229491,14.1709936363936,25.0,25.0,-0.023681640625
"Q: Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.
A:","Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize in Literature is awarded to a person who has made a significant contribution to the field of literature. The Nobel Prize in Literature is awarded to a person who has made a significant contribution to the field of literature. The Nobel Prize in Literature is awarded to a person who has made a significant contribution to the field of literature. The Nobel Prize in Literature is awarded to a person who has made a significant contribution to the field of literature. The Nobel Prize in Literature is awarded to a person who has,4.343478137259892,22.95469598530864,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",4.343478137259892,22.95469598530864,25.0,25.0,-0.00933837890625
"Q: Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”
A:","Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",“The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of the world is the end of the world. The end of,0.5025442905774142,9.293832025556592,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.5025442905774142,9.293832025556592,22.75,23.375,-0.02685546875
"Q: Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.
A:","Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",The ring is a type of ring that is used to ring the ring.,0.8805827798506448,8.72842595260896,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.8805827798506448,8.72842595260896,23.875,20.25,-0.095703125
"Q: Defar na ab sonëri buntu buy doxee WIFI, ci limu wax.
A:","Defar na ab sonëri buntu buy doxee WIFI, ci limu wax.","He built a WiFi door bell, he said.",The internet is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It is a network of computers and networks that connect to the internet. It,0.426878472907377,3.482044454288408,eng_Latn," He built a WiFi door bell, he said.",0.426878472907377,3.482044454288408,24.75,25.0,-0.018310546875
"Q: Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.
A:",Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,The show is a comedy show that is based on the life of a famous person. The show is a comedy show that is based on the life of a famous person. The show is a comedy show that is based on the life of a famous person. The show is a comedy show that is based on the life of a famous person. The show is a comedy show that is based on the life of a famous person. The show is a comedy show that is based on the life of a famous,0.5059482236900364,13.169823956973758,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,0.5059482236900364,13.169823956973758,25.0,25.0,-0.042236328125
"Q: Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.
A:","Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.",The price of the TV is $1000.,0.0,6.049996234126056,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",0.0,6.049996234126056,23.125,22.25,-0.03369140625
"Q: Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.
A:",Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring that is used to ring a ring. Ring is a ring,0.4724186878758777,9.777259869423977,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.4724186878758777,9.777259869423977,20.625,21.0,-0.051025390625
