prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: 他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”
A:",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","The researchers say that there are now 4 months old, but the mice that have been diagnosed with diabetes have not yet had diabetes. But the mice that have been diagnosed with diabetes have not yet had diabetes. But the mice that have been diagnosed with diabetes have not yet had diabetes. But the mice that have been diagnosed with diabetes have not yet had diabetes. But the mice that have been diagnosed with diabetes have not yet had diabetes. But the mice that have been diagnosed with diabetes have not yet",1.5964449532259426,18.52275919803651,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.5964449532259426,18.52275919803651
"Q: 埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。
A:",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The study is still in its early stages.,0.8322130265693586,12.303519912167475,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",0.8322130265693586,12.303519912167475
"Q: 和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。
A:",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",The same thing that other experts say that this is not a doctor who has doubts about the ability to cure diabetes. He says that these findings are not unrelated.,9.801097384695552,35.58325301324031,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",9.801097384695552,35.58325301324031
"Q: 周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。
A:",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","In the United Kingdom, the Nobel Prize Laureate Professor of the Week, Dr. Sarah Danelli announced that the Nobel Prize Laureate has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee has been notified that the Committee",1.332725239203391,20.6088047368982,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",1.332725239203391,20.6088047368982
"Q: 达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”
A:",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",The team has been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have been working hard to keep up with the game. I have,1.6053205055874784,12.50692713639921,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.6053205055874784,12.50692713639921
"Q: 此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。
A:",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of this company was told that the company was founded in the early days, when the CEO, James, was told that the company was founded in the early days, when the CEO, James, was told that the company was founded in the early days, when the CEO, James, was told that the company was founded in the early days, when the CEO, James, was told that the company was founded in the early days, when the CEO, James, was told that the",1.160271090769255,17.25227826596121,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",1.160271090769255,17.25227826596121
"Q: 他称，他制作了一个 WiFi 门铃。
A:",他称，他制作了一个 WiFi 门铃。,"He built a WiFi door bell, he said.",He said that he made a WiFi doorbell. He said that he made a WiFi doorbell.,8.808424865565325,41.5923201372176,eng_Latn," He built a WiFi door bell, he said.",8.808424865565325,41.5923201372176
"Q: 西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。
A:",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"In 2013, Mr. Z said that he was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on the show ""The show was on",0.9613023386916836,12.634965768862635,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,0.9613023386916836,12.634965768862635
"Q: 2017 年年末，西米诺夫出现在 QVC 电视销售频道。
A:",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,"In late 2017, Siminoff appeared on shopping television channel QVC.","In 2017, the QVC was sold to QVC.",12.067498571385658,17.537386152677378,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",12.067498571385658,17.537386152677378
"Q: 铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。
A:",铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","The company has been in court for years with the competition ADT, the company has been in court for years with the competition.",4.699443186217679,27.891783381397584,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",4.699443186217679,27.891783381397584
