prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",Kili kini kini kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kujiwamaji kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,5.02894351769122,ceb_Latn," ""Aduna na kami karon 4 ka bulang mga ilaga nga dili dayabetik nga kaniadto dayabetik,"" dugang pa niya.",0.0,4.542689876655165
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,5.587437226266204,ceb_Latn," Si Dr. Ehud Ur, propesor sa medisina sa Dalhousie University sa Halifax, Nova Scotia ug chair sa klinikal ug siyentipiko nga dibisyon sa Canadian Diabetes Association mipahimangno nga ang panukiduki naa pa sa iyang sayo nga mga adlaw.",0.0,4.055038099681809
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kujiwamaji kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,4.077988376280377,ceb_Latn," Sama sa ubang mga eksperto, maduhaduhaon siya kon mahimong maayo ang diyabetes, ingon nga kining mga nakaplagan walay kalabutan sa mga tawo nga adunay Type 1 nga diabetes.",0.0,3.723438434526466
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kili kini kini kini kini kini kini kini kini kini,0.0,3.9683996217274697,ceb_Latn," Sa Lunes, si Sara Danius, ang permanente nga sekretarya sa Nobel Committee sa Literatura sa Swedish Academy, nagpahayag sa publiko sa usa ka programa sa radyo nga Sveriges Radio sa Sweden, nga tungod kay wala direktang nakaistorya si Bob Dylan mahitungod sa pagkadaog niya sa 2016 nga Nobel Prize sa Literatura, gihunong na sa committee ang paningkamot niining makigstorya kaniya.",0.0,3.203088926423507
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kujiwamaji kini kini kini kini kini kini,0.0,4.951109854954091,ceb_Latn," Nagkanayon si Danius, ""Wala tay ginabuhat karon. Nanawag ko ug nagpadala og mga email sa iyang mga pinakasuod nga kabulig ug nakadawat ug mahigalaong mga tubag. Sa karon, igo na kaayo kana.""",0.0,3.4504062663432187
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",Kili kini kini kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kujiwamaji kini kini kini kini,0.0,6.485372970192175,ceb_Latn, Ang kaniadto CEO sa kompanyang Ring nga si Jamie Siminoff nag-ingon nga nagsugod ang kompanya sa dili pa madungog ang timbre sa pultahan gikan sa tindahan sa iyang garahe.,0.0,4.552896590603439
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kujiwamaji kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,2.864957307637741,ceb_Latn," Naghimo siya og WIFi nga bagtingan sa purtahan, matod niya.",0.0,2.8346530483444132
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kuni kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,3.853943047812755,ceb_Latn, Niingon si Siminoff nga ang halin misaka human sa iyang paggawas sa usa ka episode sa Shark Tank sa 2013 diin ang panel sa pasundayag nagdumili sa pagpundo sa nagasugod nga kumpanya.,0.0,3.6584780789786526
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",Kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kuni kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,3.289544235426376,ceb_Latn," Sa ulahing bahin sa 2017, nakita si Siminoff sa usa ka shopping channel sa telebisyon nga QVC.",0.0,3.179854738422081
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Kili kini kini kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kili kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,3.357681643300335,ceb_Latn," Gihusay pod ang Ring ang demanda niini sa kakompetensiyang kompanya sa seguridad, ang ADT Corporation.",0.0,3.063301407430829
